fennec-fox	耳廓狐	一只圆滚滚的大耳朵耳廓狐桌宠，沙黄色毛发，超大蓬松耳朵尖带白毛，黑亮圆眼睛，抱着一个小仙人掌，蓬松大尾巴。性格机灵好奇、活泼可爱。整体要像高质感 app sticker，柔软圆润造型，不要写实，不要像普通照片。
red-panda	小熊猫	一只圆滚滚的小熊猫桌宠，红棕色毛发，环纹大尾巴，白色脸部花纹和眉毛，耳朵白色边，抱着一片红枫叶。性格慵懒贪吃、呆萌治愈。整体要像高质感 app sticker，柔软圆润造型，不要写实，不要像普通照片。
baby-dragon	奶绿龙	一只圆滚滚的奶绿色小龙桌宠，短短的小翅膀，背上几颗小尖角，肚皮奶白色，尾巴尖带一小团星光，怀里抱着一颗发光小宝石。性格憨厚温柔、爱撒娇。整体要像高质感 app sticker，柔软圆润造型，萌系幻想风，不要写实照片。
raccoon	小浣熊	一只圆滚滚的小浣熊桌宠，灰色毛发，眼睛黑色面罩花纹，环纹蓬松尾巴，爪子里举着一个小放大镜。性格调皮捣蛋、聪明爱探索。整体要像高质感 app sticker，柔软圆润造型，不要写实，不要像普通照片。
alpaca	羊驼	一只圆滚滚毛茸茸的奶油色羊驼桌宠，头顶一撮卷卷呆毛，戴着小花环，眯眯眼长睫毛，腮帮鼓鼓，脖子围着彩色小围巾。性格温柔佛系、慢吞吞治愈。整体要像高质感 app sticker，柔软圆润造型，不要写实，不要像普通照片。
owl-baby	猫头鹰宝宝	一只圆滚滚的棕色小猫头鹰桌宠，戴着圆圆小眼镜和小学者帽，胸前羽毛奶白色，短短翅膀，爪边放着一本小书。性格博学沉稳、安静爱思考。整体要像高质感 app sticker，柔软圆润造型，不要写实，不要像普通照片。
hamster	小仓鼠	一只圆滚滚鼓着腮帮的小仓鼠桌宠，米白色加浅棕毛发，粉色小耳朵小爪子，背着一颗大瓜子当小背包，黑亮圆眼睛。性格贪吃勤奋、元气满满。整体要像高质感 app sticker，柔软圆润造型，不要写实，不要像普通照片。
deer-fawn	小鹿斑比	一只圆滚滚的浅棕色小鹿桌宠，身上白色小斑点，头顶刚冒出的绒毛小角，戴着小花冠，水汪汪大眼睛，粉色小鼻子。性格温柔胆小、纯洁治愈。整体要像高质感 app sticker，柔软圆润造型，不要写实，不要像普通照片。
hedgehog	小刺猬	一只圆滚滚的小刺猬桌宠，背上棕色小尖刺，奶油色脸和肚皮，粉色小鼻子，头上顶着一片红叶子当帽子，怀里抱一颗小橡果。性格害羞内向、温柔贴心。整体要像高质感 app sticker，柔软圆润造型，不要写实，不要像普通照片。
squirrel	小松鼠	一只圆滚滚的红棕色小松鼠桌宠，蓬松大尾巴像一片叶子，抱着一颗大橡果，黑亮圆眼睛，耳朵带小绒毛。性格机灵勤快、活泼爱囤货。整体要像高质感 app sticker，柔软圆润造型，不要写实，不要像普通照片。
dachshund	腊肠犬	一只圆滚滚长身子的奶油色腊肠犬桌宠，垂垂大耳朵，穿着红色小背心，短短小短腿，吐着小舌头，黑亮眼睛。性格憨态可掬、黏人撒娇。整体要像高质感 app sticker，柔软圆润造型，不要写实，不要像普通照片。
tabby-kitten	橘猫宝宝	一只圆滚滚胖乎乎的橘色虎斑小猫桌宠，戴着蓝色小水手帽，怀里抱一条小鱼玩具，粉色肉垫，眯眼笑。性格贪吃慵懒、傲娇又黏人。整体要像高质感 app sticker，柔软圆润造型，不要写实，不要像普通照片。
piglet	小猪仔	一只圆滚滚粉嫩的小猪桌宠，卷卷小尾巴，戴着黄色背带裤，鼻子粉粉，腮帮红晕，抱着一棵小三叶草。性格乐天憨厚、爱吃爱笑。整体要像高质感 app sticker，柔软圆润造型，不要写实，不要像普通照片。
beaver	小河狸	一只圆滚滚的棕色小河狸桌宠，扁扁大门牙，戴着圆眼镜和小工具腰带，抱着一个小木块，扁平大尾巴。性格认真勤劳、爱动手。整体要像高质感 app sticker，柔软圆润造型，不要写实，不要像普通照片。
dalmatian	斑点狗	一只圆滚滚的白色小斑点狗桌宠，身上黑色圆斑点，戴着红色消防小头盔，吐着舌头，爪边一个小水桶。性格热情勇敢、活力四射。整体要像高质感 app sticker，柔软圆润造型，不要写实，不要像普通照片。
husky-pup	哈士奇幼崽	一只圆滚滚的灰白哈士奇幼崽桌宠，蓝色眼睛，脸上经典黑白花纹，戴着蓝色小围巾，歪头吐舌搞怪表情。性格调皮戏精、忠诚搞笑。整体要像高质感 app sticker，柔软圆润造型，不要写实，不要像普通照片。
samoyed	萨摩耶	一只圆滚滚雪白蓬松的萨摩耶幼崽桌宠，戴着粉色蝴蝶结，眯眼天使微笑，黑鼻子，毛茸茸像一团云。性格温柔阳光、治愈系。整体要像高质感 app sticker，柔软圆润造型，不要写实，不要像普通照片。
british-cat	英短蓝猫	一只圆滚滚的灰蓝色英短小猫桌宠，铜色圆眼睛，戴着紫色小巫师帽，爪里举一根星星魔法棒，圆脸短鼻。性格沉稳神秘、优雅高贵。整体要像高质感 app sticker，柔软圆润造型，不要写实，不要像普通照片。
arctic-fox	北极狐	一只圆滚滚雪白色的北极狐桌宠，蓝色眼睛，蓬松大尾巴尖带浅灰，戴着银色雪花项圈，耳朵尖黑。性格优雅安静、温柔聪慧。整体要像高质感 app sticker，柔软圆润造型，不要写实，不要像普通照片。
koala	考拉	一只圆滚滚灰蓝色的考拉桌宠，大大圆耳朵带白绒毛，黑色大鼻子，抱着一根小桉树枝，眯眯眼打瞌睡表情。性格慵懒佛系、爱抱抱。整体要像高质感 app sticker，柔软圆润造型，不要写实，不要像普通照片。
